,AIRCRAFT,Turbulence_Category
1358,BD36,U
1359,HK25,U
1360,PC11,U
1361,LJ30,U
1362,BD4,U
1363,B745,U
1364,MUS2,U
1365,TIGR,U
1366,B757 MD88,U
1367,OA32,U
1368,KAGN,U
1369,VZ10,U
1370,SF24,U
1371,LNC3,U
1372,GROB,U
1373,LG35,U
1374,B773,U
1375,G200,U
1376,FA80,U
1377,CR7,U
1378,LJ23,U
1379,MUS,U
1380,DRJ2,U
1381,B27,U
1382,MD60,U
1383,CH77,U
1384,C2104,U
1385,G22,U
1386,BY37,U
1387,STINSON,U
1388,BT17,U
1389,T,U
1390,AP46,U
1391,KITFOX,U
1392,SWIFT,U
1393,A420,U
1394,PS31,U
1395,SCT1,U
1396,AVID,U
1397,A748,U
1398,LNCE,U
1399,OB10,U
1400,C65,U
1401,HAWK,U
1402,TRI,U
1403,7GC,U
1404,HB747,U
1405,A1,U
1406,LGZE,U
1407,VH3P,U
1408,A5,U
1409,CRJ9,U
1410,CJR1,U
1411,AP32,U
1412,BJ40,U
1413,A318,U
1414,T34P,U
1415,SR34,U
1416,CUB,U
1417,PC68,U
1418,J31,U
1419,AS65,U
1420,RV8A,U
1421,EMB3,U
1422,J4,U
1423,GC1B,U
1424,THRP,U
1425,F4U,U
1426,PA80,U
1427,TRYN,U
1428,MAVI,U
1429,A3,U
1430,HU16,U
1431,TOP1,U
1432,020,U
1433,BA40,U
1434,TB21,U
1435,A326,U
1436,B703,U
1437,B377,U
1438,SBR2,U
1439,C5A,U
1440,P25,U
1441,F260,U
1442,C670,U
1443,RJ70,U
1444,180,U
1445,MKG,U
1446,V210,U
1447,B37,U
1448,VO10,U
1449,BE2O,U
1450,RGJ,U
1451,E319,U
1452,MD80 B737,U
1453,2SL,U
1454,CRJ2 B733,U
1455,L160,U
1456,J241,U
1457,AT802,U
1458,B777 B767,U
1459,LC42,U
1460,LK4,U
1461,GULF5,U
1462,B402,U
1463,C561,U
1464,A34,U
1465,VC10,U
1466,T303,U
1467,EXPB,U
1468,TB25,U
1469,AE5T,U
1470,T180,U
1471,HB757,U
1472,RJET,U
1473,H212,U
1474,SA20,U
1475,L328,U
1476,BE00,U
1477,T40,U
1478,MB80,U
1479,F110,U
1480,TEST,U
1481,S61,U
1482,PRJ2,U
1483,28A,U
1484,CE20,U
1485,H43B,U
1486,BH04,U
1487,MO2F,U
1488,C186,U
1489,G-4,U
1490,K150,U
1491,O32R,U
1492,GLFX,U
1493,C141 B737,U
1494,GL,U
1495,GL60,U
1496,CALX,U
1497,PA45,U
1498,C492,U
1499,BD33,U
1500,MB12,U
1501,M22,U
1502,C405,U
1503,PA8,U
1504,TC15,U
1505,RGJT,U
1506,A320 MD80,U
1507,FBA2,U
1508,B2,U
1509,SHD3,U
1510,D738,U
